Plot_ID, Average_Height, Standard_Deveatioin
7:5:5,0.208989,0.046211
8:5:5,0.274783,0.038581
1:6:1,0.370909,0.032608
2:6:1,0.398844,0.026126
3:6:1,0.394048,0.029726
4:6:1,0.397740,0.028017
5:6:1,0.375419,0.017273
6:6:1,0.342392,0.018203
7:6:1,0.146087,0.036398
8:6:1,0.178947,0.031136
1:6:2,0.444693,0.031522
2:6:2,0.452863,0.027514
3:6:2,0.412928,0.026145
4:6:2,0.428431,0.028407
5:6:2,0.368572,0.017869
6:6:2,0.387755,0.021238
7:6:2,0.237563,0.046711
8:6:2,0.286420,0.038458
1:6:3,0.417778,0.035240
2:6:3,0.442667,0.028046
3:6:3,0.403053,0.031441
4:6:3,0.400985,0.031329
5:6:3,0.351923,0.019227
6:6:3,0.383606,0.020715
7:6:3,0.248039,0.049653
8:6:3,0.271795,0.037922
1:6:4,0.407519,0.035131
2:6:4,0.415585,0.035082
3:6:4,0.393617,0.035278
4:6:4,0.363077,0.041098
5:6:4,0.338889,0.018488
6:6:4,0.393583,0.024344
7:6:4,0.293976,0.052855
8:6:4,0.342466,0.038882
1:6:5,0.390196,0.077943
2:6:5,0.380180,0.078526
3:6:5,0.412500,0.076719
4:6:5,0.336986,0.056851
5:6:5,0.250549,0.045357
6:6:5,0.333334,0.051111
7:6:5,0.341559,0.050351
8:6:5,0.386111,0.054807
1:7:1,0.480000,0.073600
2:7:1,0.139850,0.034277
3:7:1,0.307317,0.043117
4:7:1,0.353957,0.028959
5:7:1,0.187234,0.039837
6:7:1,0.313044,0.039395
7:7:1,0.292308,0.024486
8:7:1,0.325926,0.025920
1:7:2,0.480645,0.085754
2:7:2,0.182192,0.036669
3:7:2,0.318095,0.034815
4:7:2,0.388060,0.021947
5:7:2,0.237037,0.048999
6:7:2,0.373793,0.036003
7:7:2,0.297183,0.025767
8:7:2,0.336297,0.017571
1:7:3,0.573913,0.074682
2:7:3,0.196364,0.029078
3:7:3,0.310569,0.041108
4:7:3,0.370470,0.016846
5:7:3,0.279365,0.048939
6:7:3,0.364017,0.047743
7:7:3,0.258216,0.036048
8:7:3,0.307229,0.033080
1:7:4,0.477049,0.085539
2:7:4,0.204587,0.028052
3:7:4,0.291177,0.028746
4:7:4,0.345098,0.018424
5:7:4,0.292308,0.041325
6:7:4,0.396694,0.036022
7:7:4,0.287672,0.028478
8:7:4,0.300000,0.023953
1:7:5,0.426168,0.108474
2:7:5,0.205236,0.037459
3:7:5,0.108108,0.035880
4:7:5,0.104878,0.019732
5:7:5,0.268000,0.048176
6:7:5,0.276923,0.060896
7:7:5,0.152941,0.033341
8:7:5,0.154098,0.028057
1:8:1,0.329412,0.017606
2:8:1,0.301266,0.021138
3:8:1,0.289830,0.026846
4:8:1,0.323077,0.021216
5:8:1,0.276830,0.017268
6:8:1,0.195238,0.021247
7:8:1,0.148718,0.032242
8:8:1,0.069231,0.012130
1:8:2,0.269047,0.026185
2:8:2,0.311842,0.026702
3:8:2,0.452101,0.032580
4:8:2,0.378874,0.006596
5:8:2,0.360976,0.011160
6:8:2,0.265600,0.022897
7:8:2,0.138806,0.024614
8:8:2,0.050000,0.014167
1:8:3,0.252873,0.028009
2:8:3,0.248148,0.027558
3:8:3,0.271318,0.038325
4:8:3,0.300663,0.022185
5:8:3,0.312000,0.026313
6:8:3,0.285527,0.031896
7:8:3,0.250420,0.053928
