1,x,12.048,11.032,y,31,19
2,x,12.048,11.032,y,45,33
3,x,12.048,11.032,y,59,47
4,x,12.048,11.032,y,73,61
5,x,12.048,11.032,y,87,75
6,x,12.048,11.032,y,101,89
7,x,12.048,11.032,y,115,103
8,x,12.048,11.032,y,129,117
9,x,13.064,12.048,y,31,19
10,x,13.064,12.048,y,45,33
11,x,13.064,12.048,y,59,47
12,x,13.064,12.048,y,73,61
13,x,13.064,12.048,y,87,75
14,x,13.064,12.048,y,101,89
15,x,13.064,12.048,y,115,103
16,x,13.064,12.048,y,129,117
17,x,14.08,13.064,y,31,19
18,x,14.08,13.064,y,45,33
19,x,14.08,13.064,y,59,47
20,x,14.08,13.064,y,73,61
21,x,14.08,13.064,y,87,75
22,x,14.08,13.064,y,101,89
23,x,14.08,13.064,y,115,103
24,x,14.08,13.064,y,129,117
25,x,15.096,14.08,y,31,19
26,x,15.096,14.08,y,45,33
27,x,15.096,14.08,y,59,47
28,x,15.096,14.08,y,73,61
29,x,15.096,14.08,y,87,75
30,x,15.096,14.08,y,101,89
31,x,15.096,14.08,y,115,103
32,x,15.096,14.08,y,129,117
33,x,16.112,15.096,y,31,19
34,x,16.112,15.096,y,45,33
35,x,16.112,15.096,y,59,47
36,x,16.112,15.096,y,73,61
37,x,16.112,15.096,y,87,75
38,x,16.112,15.096,y,101,89
39,x,16.112,15.096,y,115,103
40,x,16.112,15.096,y,129,117
41,x,25.256,24.24,y,31,19
42,x,25.256,24.24,y,45,33
43,x,25.256,24.24,y,59,47
44,x,25.256,24.24,y,73,61
45,x,25.256,24.24,y,87,75
46,x,25.256,24.24,y,101,89
47,x,25.256,24.24,y,115,103
48,x,25.256,24.24,y,129,117
49,x,26.272,25.256,y,31,19
50,x,26.272,25.256,y,45,33
51,x,26.272,25.256,y,59,47
52,x,26.272,25.256,y,73,61
53,x,26.272,25.256,y,87,75
54,x,26.272,25.256,y,101,89
55,x,26.272,25.256,y,115,103
56,x,26.272,25.256,y,129,117
57,x,27.288,26.272,y,31,19
58,x,27.288,26.272,y,45,33
59,x,27.288,26.272,y,59,47
60,x,27.288,26.272,y,73,61
61,x,27.288,26.272,y,87,75
62,x,27.288,26.272,y,101,89
63,x,27.288,26.272,y,115,103
64,x,27.288,26.272,y,129,117
65,x,28.304,27.288,y,31,19
66,x,28.304,27.288,y,45,33
67,x,28.304,27.288,y,59,47
68,x,28.304,27.288,y,73,61
69,x,28.304,27.288,y,87,75
70,x,28.304,27.288,y,101,89
71,x,28.304,27.288,y,115,103
